_id,title,description,type,category,location,locationFound,date,imageUrl,status,reportedBy,claimantId,claimProof,createdAt,updatedAt
66f200000000000000000014,Found: Aadhaar Card - Rahul S,Found Aadhaar card in envelope near Xerox shop outside campus,found,id_cards,Xerox Shop Outside Gate,Xerox Shop Outside Gate,2026-09-01T14:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-09-01T14:35:00.000Z,2026-09-01T14:35:00.000Z
66f200000000000000000015,Lost Dell Mouse Wireless,Black Dell WM126 wireless mouse lost in Lab 5,lost,electronics,Lab 5,Lab 5,2026-09-02T10:00:00.000Z,,resolved,66f1a1a1a1a1a1a1a1a1a1a4,66f1a1a1a1a1a1a1a1a1a1a4,Bill and serial matched,2026-09-02T10:05:00.000Z,2026-09-04T09:00:00.000Z
66f200000000000000000016,Found: Red Umbrella,Found red automatic umbrella in Room 101 after maths class,found,accessories,Room 101,Room 101,2026-09-03T16:20:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a2,,,2026-09-03T16:25:00.000Z,2026-09-03T16:25:00.000Z
66f200000000000000000017,Lost White Lab Coat - Size L,White apron with name tag Ananya lost in Chemistry Lab,lost,clothing,Chemistry Lab,Chemistry Lab,2026-09-04T12:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-09-04T12:05:00.000Z,2026-09-04T12:05:00.000Z
66f200000000000000000018,Found: OnePlus Charger 65W White,Found white OnePlus 65W charger in Library Reading Hall,found,electronics,Library Reading Hall,Library Reading Hall,2026-09-05T10:45:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a6,,,2026-09-05T10:50:00.000Z,2026-09-05T10:50:00.000Z
66f200000000000000000019,Lost Engineering Physics Textbook,Lost Engineering Physics by Gaur and Gupta with notes inside near ECE Block,lost,books,ECE Block,ECE Block,2026-09-05T15:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-09-05T15:40:00.000Z,2026-09-05T15:40:00.000Z
66f200000000000000000020,Found: Black Wallet with Bus Pass,Found black wallet with NIE bus pass inside near Bus Stop,found,other,College Bus Stop,College Bus Stop,2026-09-06T08:50:00.000Z,,claimed,66f1a1a1a1a1a1a1a1a1a1a3,66f1a1a1a1a1a1a1a1a1a1a6,Showed bus pass number and ID,2026-09-06T09:00:00.000Z,2026-09-07T11:00:00.000Z
66f200000000000000000021,Lost Gold Earring - Single,Single small gold earring lost in Girls Common Room,lost,accessories,Girls Common Room,Girls Common Room,2026-09-07T13:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a7,,,2026-09-07T13:10:00.000Z,2026-09-07T13:10:00.000Z
66f200000000000000000022,Found: Lenovo Laptop Bag Grey,Found grey Lenovo laptop bag in Auditorium last row,found,other,Auditorium,Auditorium,2026-09-08T17:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a1,,,2026-09-08T17:05:00.000Z,2026-09-08T17:05:00.000Z
66f200000000000000000023,Lost Spectacles in Black Case,Black rectangular spectacles with black case lost in Canteen,lost,accessories,College Canteen,College Canteen,2026-09-09T12:15:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a5,,,2026-09-09T12:20:00.000Z,2026-09-09T12:20:00.000Z
66f200000000000000000024,Found: Driving License - Shivam K,Found driving license near Main Gate security cabin,found,id_cards,Main Gate,Main Gate,2026-09-10T09:00:00.000Z,,resolved,66f1a1a1a1a1a1a1a1a1a1a1,66f1a1a1a1a1a1a1a1a1a1a4,DL number verified at admin office,2026-09-10T09:05:00.000Z,2026-09-11T10:00:00.000Z
66f200000000000000000025,Lost White Sneakers - Puma Size 9,White Puma sneakers size 9 lost in Sports Complex changing room,lost,clothing,Sports Complex,Sports Complex,2026-09-11T18:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a4,,,2026-09-11T18:40:00.000Z,2026-09-11T18:40:00.000Z
66f200000000000000000026,Found: Mathematics Drafter Set,Found white drafter and sheets roll in Drawing Hall,found,other,Drawing Hall,Drawing Hall,2026-09-12T11:30:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a8,,,2026-09-12T11:35:00.000Z,2026-09-12T11:35:00.000Z
66f200000000000000000027,Lost Hostel Room Key - B204,Single brass key with B204 wooden tag lost near Hostel B,lost,keys,Hostel B,Hostel B,2026-09-13T20:00:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a6,,,2026-09-13T20:05:00.000Z,2026-09-13T20:05:00.000Z
66f200000000000000000028,Found: Titan Sunglasses Brown,Found brown Titan sunglasses in Faculty Cabin corridor,found,accessories,Faculty Corridor ISE,Faculty Corridor ISE,2026-09-14T10:20:00.000Z,,open,66f1a1a1a1a1a1a1a1a1a1a8,,,2026-09-14T10:25:00.000Z,2026-09-14T10:25:00.000Z
